O*NET-SOC Code,Title,working_with_computers_raw_0_100,working_with_computers_norm,e_mail_raw_0_100,e_mail_norm,using_hands_raw_0_100,using_hands_norm,kneeling_raw_0_100,kneeling_norm,originality_raw_0_100,originality_norm,thinking_creatively_raw_0_100,thinking_creatively_norm,digit,physical,iprisk,soc_major_group,domain
27-2012.00,Producers and Directors,85.00000000000001,0.8527918781725888,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,68.75,0.79,89.75,0.8960674157303371,0.759729272419529,0.416666666666864,0.8430337078651686,27,A
27-2012.03,Media Programming Directors,84.25,0.8451776649746192,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,68.75,0.79,88.99999999999999,0.8876404494382021,0.7559221658205443,0.5833333333334321,0.838820224719101,27,A
27-2012.04,Talent Directors,62.25000000000001,0.6218274111675127,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.0,0.5,65.5,0.7466666666666667,79.5,0.7808988764044944,0.644247038916991,0.583333333333728,0.7637827715355805,27,A
27-2012.05,Media Technical Directors/Managers,80.25,0.8045685279187816,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,59.5,0.6666666666666666,71.0,0.6853932584269663,0.7356175972926255,0.416666666666864,0.6760299625468165,27,A
27-2021.00,Athletes and Sports Competitors,34.25,0.3375634517766497,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,47.0,0.5,59.75,0.5589887640449438,0.5021150592215595,0.416666666666864,0.5294943820224719,27,A
27-2022.00,Coaches and Scouts,66.0,0.6598984771573603,19.998,0.3333333333335307,19.997999999999998,0.0,20.0,0.5,72.0,0.8333333333333334,74.75,0.7275280898876404,0.4966159052454455,0.25,0.7804307116104869,27,A
27-2023.00,"Umpires, Referees, and Other Sports Officials",34.5,0.34010152284263956,20.002000000000002,1.0,20.0,0.33333333333372805,19.997999999999998,0.24999999999977796,21.999999999999996,0.16666666666666666,26.249999999999996,0.18258426966292135,0.6700507614213198,0.291666666666753,0.17462546816479402,27,A
27-2031.00,Dancers,4.749999999999998,0.038071065989847684,19.997999999999998,0.3333333333329386,20.002,0.666666666666864,20.0,0.5,47.0,0.5,58.75,0.547752808988764,0.18570219966139312,0.5833333333334321,0.523876404494382,27,A
27-2032.00,Choreographers,34.5,0.34010152284263956,20.0,0.6666666666664693,19.997999999999998,0.0,20.002,0.749999999999778,75.0,0.8733333333333333,96.50000000000001,0.9719101123595507,0.5033840947545545,0.374999999999889,0.922621722846442,27,A
27-2041.00,Music Directors and Composers,65.25,0.6522842639593908,19.997999999999998,0.3333333333329386,20.002000000000002,0.6666666666674561,20.0,0.5,68.75,0.79,87.00000000000001,0.8651685393258428,0.49280879864616467,0.583333333333728,0.8275842696629214,27,A
27-2042.00,Musicians and Singers,20.5,0.1979695431472081,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,59.5,0.6666666666666666,69.0,0.6629213483146067,0.43231810490683875,0.416666666666864,0.6647940074906367,27,A
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,69.0,0.6903553299492384,20.0,0.6666666666664693,19.997999999999998,0.0,20.0,0.5,68.75,0.79,91.75,0.9185393258426966,0.6785109983078539,0.25,0.8542696629213483,27,A
27-3031.00,Public Relations Specialists,81.0,0.8121827411167512,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,68.75,0.79,86.25,0.8567415730337079,0.7394247038916102,0.5833333333334321,0.823370786516854,27,A
27-3041.00,Editors,89.25,0.8959390862944161,20.0,0.6666666666664693,19.998,5.921189464667277e-13,20.0,0.5,62.5,0.7066666666666667,76.75,0.75,0.7813028764804427,0.25000000000029604,0.7283333333333333,27,A
27-3042.00,Technical Writers,90.25000000000001,0.9060913705583756,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,47.0,0.5,64.25,0.6095505617977528,0.7863790186124224,0.416666666666864,0.5547752808988764,27,A
27-3043.00,Writers and Authors,60.25,0.6015228426395938,20.0,0.6666666666664693,19.998,5.921189464667277e-13,20.002000000000002,0.750000000000222,72.0,0.8333333333333334,70.75,0.6825842696629213,0.6340947546530316,0.37500000000040706,0.7579588014981273,27,A
27-3043.05,"Poets, Lyricists and Creative Writers",71.25,0.7131979695431471,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,78.0,0.9133333333333333,95.24999999999999,0.9578651685393257,0.6899323181048083,0.416666666666864,0.9355992509363296,27,A
27-3091.00,Interpreters and Translators,56.49999999999999,0.563451776649746,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,50.0,0.54,63.5,0.601123595505618,0.6150592216581077,0.416666666666864,0.570561797752809,27,A
27-3092.00,Court Reporters and Simultaneous Captioners,90.99999999999999,0.9137055837563449,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,21.999999999999996,0.16666666666666666,9.999999999999998,0.0,0.7901861252114071,0.5833333333334321,0.08333333333333333,27,A
27-4011.00,Audio and Video Technicians,88.5,0.8883248730964466,20.0,0.6666666666664693,20.0,0.33333333333372805,20.002,0.749999999999778,47.0,0.5,78.75000000000001,0.7724719101123597,0.777495769881458,0.541666666666753,0.6362359550561798,27,A
27-4012.00,Broadcast Technicians,89.5,0.898477157360406,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.0,0.5,50.0,0.54,59.75,0.5589887640449438,0.7825719120134377,0.583333333333728,0.5494943820224719,27,A
27-4014.00,Sound Engineering Technicians,98.0,0.9847715736040608,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,59.5,0.6666666666666666,94.0,0.9438202247191011,0.825719120135265,0.416666666666864,0.8052434456928839,27,A
27-4021.00,Photographers,92.0,0.9238578680203045,20.0,0.6666666666664693,20.002,0.666666666666864,20.002,0.749999999999778,72.0,0.8333333333333334,89.75,0.8960674157303371,0.7952622673433869,0.708333333333321,0.8647003745318352,27,A
27-4031.00,"Camera Operators, Television, Video, and Film",82.25,0.8248730964467004,20.0,0.6666666666664693,19.998,5.921189464667277e-13,20.0,0.5,53.0,0.58,89.99999999999999,0.8988764044943819,0.7457698815565849,0.25000000000029604,0.7394382022471909,27,A
27-4032.00,Film and Video Editors,96.75,0.9720812182741115,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,62.5,0.7066666666666667,93.25000000000001,0.9353932584269664,0.8193739424702904,0.416666666666864,0.8210299625468165,27,A
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,44.49999999999999,0.4416243654822334,20.0,0.6666666666664693,20.0,0.33333333333372805,19.997999999999998,0.24999999999977796,47.0,0.5,63.5,0.601123595505618,0.5541455160743514,0.291666666666753,0.550561797752809,47,T
47-1011.03,Solar Energy Installation Managers,54.25,0.5406091370558375,20.0,0.6666666666664693,20.002,0.666666666666864,20.0,0.5,47.0,0.5,53.25,0.4859550561797753,0.6036379018611534,0.5833333333334321,0.49297752808988765,47,T
47-2011.00,Boilermakers,53.75,0.5355329949238578,20.0,0.6666666666664693,20.002000000000002,0.6666666666674561,20.002,0.749999999999778,28.000000000000004,0.24666666666666676,43.00000000000001,0.37078651685393266,0.6010998307951636,0.708333333333617,0.3087265917602997,47,T
47-2021.00,Brickmasons and Blockmasons,19.25,0.18527918781725886,20.0,0.6666666666664693,20.0,0.33333333333372805,20.002,0.749999999999778,40.5,0.4133333333333334,51.74999999999999,0.46910112359550554,0.4259729272418641,0.541666666666753,0.44121722846441946,47,T
47-2022.00,Stonemasons,26.749999999999996,0.26142131979695427,20.0,0.6666666666664693,20.0,0.33333333333372805,20.002000000000002,0.750000000000222,43.75,0.45666666666666667,66.75,0.6376404494382022,0.4640439932317118,0.541666666666975,0.5471535580524345,47,T
47-2031.00,Carpenters,40.75,0.4035532994923857,20.0,0.6666666666664693,20.0,0.33333333333372805,19.998,0.25000000000022204,47.0,0.5,62.74999999999999,0.5926966292134831,0.5351099830794275,0.29166666666697505,0.5463483146067416,47,T
47-2041.00,Carpet Installers,8.750000000000002,0.07868020304568528,20.0,0.6666666666664693,20.0,0.33333333333372805,20.0,0.5,31.25,0.29000000000000004,50.5,0.4550561797752809,0.3726734348560773,0.416666666666864,0.37252808988764047,47,T
