soc,t_start,t_end,scenario,eta,rank,task_id,dims,w,p_start,p_end,Delta_p,r
49-1011.00,2024.0,2035.0,Baseline,0.5,3,2918,D4,0.056513,0.0616645657880835,0.0638852089209985,0.0022206431329149998,0.003686104460499249
49-1011.00,2024.0,2035.0,Baseline,0.5,4,2925,D1,0.056277,0.0614070526932914,0.0636184223532113,0.002211369659919901,0.0036707111766056504
49-1011.00,2024.0,2035.0,Baseline,0.5,5,2915,D2,0.052655,0.057454881382541,0.0595239268086135,0.002069045426072502,0.00343446340430675
49-1011.00,2024.0,2035.0,Baseline,0.5,6,2930,D6,0.04069,0.0443991857080162,0.0459980739121163,0.0015988882041000976,0.0026540369560581513
49-1011.00,2024.0,2035.0,Baseline,0.5,7,2932,D4,0.033335,0.0363737246393885,0.037683602699936,0.001309878060547505,0.0021743013499680025
49-1011.00,2024.0,2035.0,Baseline,0.5,8,2914,D7,0.060013,0.057245336864821,0.0560521861844349,-0.0011931506803860986,0.0019804069077825476
49-1011.00,2024.0,2035.0,Baseline,0.5,9,15263,D7,0.058933,0.0562151440097061,0.0550434653892873,-0.001171678620418802,0.0019447673053563513
49-1011.00,2024.0,2035.0,Baseline,0.5,10,15262,D7,0.056987,0.0543588891059529,0.0532258999565492,-0.0011329891494036987,0.001880550021725401
49-1011.00,2024.0,2035.0,Baseline,1.0,1,2912,D5,0.058948,0.0469555284330964,0.0421719399245681,-0.004783588508528301,0.00838803003771595
49-1011.00,2024.0,2035.0,Baseline,1.0,2,2929,D2,0.057635,0.0686783481824699,0.0730832139419064,0.004404865759436494,0.007724106970953198
49-1011.00,2024.0,2035.0,Baseline,1.0,3,2918,D4,0.056513,0.0673413635956609,0.0716604783464728,0.004319114750811898,0.007573739173236397
49-1011.00,2024.0,2035.0,Baseline,1.0,4,2925,D1,0.056277,0.0670601440212519,0.0713612220180215,0.004301077996769598,0.007542111009010751
49-1011.00,2024.0,2035.0,Baseline,1.0,5,2915,D2,0.052655,0.0627441385190934,0.0667683981974683,0.0040242596783749,0.007056699098734149
49-1011.00,2024.0,2035.0,Baseline,1.0,6,2930,D6,0.04069,0.0484865444182302,0.051596355952046,0.003109811533815801,0.005453177976023002
49-1011.00,2024.0,2035.0,Baseline,1.0,7,2932,D4,0.033335,0.0397222648852716,0.0422699563937442,0.002547691508472602,0.004467478196872102
49-1011.00,2024.0,2035.0,Baseline,1.0,8,2914,D7,0.060013,0.0541886403128136,0.0518653668916008,-0.0023232734212127945,0.004073816554199597
49-1011.00,2024.0,2035.0,Baseline,1.0,9,15263,D7,0.058933,0.0532134560771007,0.0509319925186661,-0.0022814635584346016,0.00400050374066695
49-1011.00,2024.0,2035.0,Baseline,1.0,10,15262,D7,0.056987,0.0514563185560847,0.0492501901763227,-0.0022061283797620013,0.003868404911838652
49-1011.00,2024.0,2035.0,Baseline,2.0,1,2929,D2,0.057635,0.0817102153829971,0.0897006971786263,0.007990481795629209,0.016032848589313153
49-1011.00,2024.0,2035.0,Baseline,2.0,2,2918,D4,0.056513,0.0801195350384196,0.0879544634277038,0.007834928389284193,0.0157207317138519
49-1011.00,2024.0,2035.0,Baseline,2.0,3,2925,D1,0.056277,0.0797849534329648,0.0875871629239447,0.0078022094909799,0.015655081461972347
49-1011.00,2024.0,2035.0,Baseline,2.0,4,2912,D5,0.058948,0.0365484144709767,0.0291139564159291,-0.007434458055047603,0.01491702179203545
49-1011.00,2024.0,2035.0,Baseline,2.0,5,2915,D2,0.052655,0.074649976420434,0.0819500340060825,0.007300057585648501,0.01464751700304125
49-1011.00,2024.0,2035.0,Baseline,2.0,6,2930,D6,0.04069,0.0576869725676091,0.0633282097371094,0.005641237169500296,0.0113191048685547
49-1011.00,2024.0,2035.0,Baseline,2.0,7,2932,D4,0.033335,0.0472596517704903,0.051881196155973,0.0046215443854827,0.009273098077986503
49-1011.00,2024.0,2035.0,Baseline,2.0,8,2914,D7,0.060013,0.047356937791246,0.0431563440277803,-0.004200593763465703,0.00842832798610985
49-1011.00,2024.0,2035.0,Baseline,2.0,9,15263,D7,0.058933,0.046504697563053,0.0423796981085627,-0.004124999454490297,0.00827665094571865
